"id";"timestamp";"activity"
"4";"01-01-1970 01:05:36.100";"IN_6_3-x"
"57";"01-01-1970 01:05:37.800";"IN_6_3-x"
"59";"01-01-1970 01:05:37.900";"IN_7_3-y"
"56";"01-01-1970 01:05:38.100";"IN_4_3-x"
"22";"01-01-1970 01:05:38.100";"IN_3_3-x"
"55";"01-01-1970 01:05:40.300";"IN_1_3-x"
"22";"01-01-1970 01:05:40.300";"IN_4_3-x"
"37";"01-01-1970 01:05:41.500";"y-S1_0"
"55";"01-01-1970 01:05:42.400";"IN_2_3-x"
"6";"01-01-1970 01:05:43.000";"IN_1_3-x"
"61";"01-01-1970 01:05:43.900";"IN_5_3-x"
"35";"01-01-1970 01:05:44.600";"y-S1_0"
"6";"01-01-1970 01:05:45.200";"IN_2_3-x"
"55";"01-01-1970 01:05:45.400";"IN_3_3-x"
"55";"01-01-1970 01:05:47.600";"IN_4_3-x"
"4";"01-01-1970 01:05:47.700";"IN_7_3-y"
"6";"01-01-1970 01:05:48.200";"IN_3_3-x"
"57";"01-01-1970 01:05:49.300";"IN_7_3-y"
"6";"01-01-1970 01:05:50.400";"IN_4_3-x"
"61";"01-01-1970 01:05:51.300";"IN_6_3-x"
"52";"01-01-1970 01:05:51.900";"y-S1_0"
"69";"01-01-1970 01:05:54.200";"IN_1_0"
"67";"01-01-1970 01:05:54.200";"IN_2_0"
"65";"01-01-1970 01:05:54.200";"IN_3_0"
"63";"01-01-1970 01:05:54.200";"IN_4_0"
"68";"01-01-1970 01:05:54.200";"IN_5_0"
"64";"01-01-1970 01:05:54.200";"IN_6_0"
"66";"01-01-1970 01:05:54.200";"IN_7_0"
"3";"01-01-1970 01:05:54.700";"y-S1_0"
"48";"01-01-1970 01:05:55.200";"IN_5_3-x"
"3";"01-01-1970 01:05:56.000";"y-S2_0"
"11";"01-01-1970 01:05:56.700";"IN_5_3-x"
"3";"01-01-1970 01:05:57.300";"y-S3_0"
"25";"01-01-1970 01:05:58.100";"IN_2_3-x"
"51";"01-01-1970 01:05:58.200";"IN_5_3-x"
"3";"01-01-1970 01:05:58.600";"y-S4_0"
"25";"01-01-1970 01:06:01.000";"IN_3_3-x"
"49";"01-01-1970 01:06:01.100";"IN_5_3-x"
"34";"01-01-1970 01:06:01.500";"y-S1_0"
"48";"01-01-1970 01:06:02.700";"IN_6_3-x"
"61";"01-01-1970 01:06:02.900";"IN_7_3-y"
"25";"01-01-1970 01:06:03.200";"IN_4_3-x"
"11";"01-01-1970 01:06:04.200";"IN_6_3-x"
"51";"01-01-1970 01:06:05.700";"IN_6_3-x"
"49";"01-01-1970 01:06:08.600";"IN_6_3-x"
"50";"01-01-1970 01:06:08.900";"y-S1_0"
